angle, V_pd, data_uncertainty
0.000000000000000000e+00,3.236249999999999716e+01,2.697058377264130793e-02
1.500000000000000000e+01,3.008079999999999998e+01,1.539474552221667403e-01
3.000000000000000000e+01,2.402850000000000108e+01,2.529447973802169680e-01
4.500000000000000000e+01,1.588150000000000084e+01,2.850161557701456627e-01
6.000000000000000000e+01,7.779399999999999871e+00,2.411061172361133875e-01
7.500000000000000000e+01,1.957100000000000062e+00,1.330586977567518314e-01
9.000000000000000000e+01,3.570000000000000256e-02,1.810352138169938827e-02
1.050000000000000000e+02,2.583899999999999864e+00,1.528455173612370266e-01
1.200000000000000000e+02,8.945999999999999730e+00,2.525771101353354586e-01
1.350000000000000000e+02,1.738599999999999923e+01,2.850444398754784503e-01
1.500000000000000000e+02,2.564379999999999882e+01,2.415490855165719764e-01
1.650000000000000000e+02,3.131070000000000064e+01,1.343830625287756042e-01
1.800000000000000000e+02,3.301890000000000214e+01,2.697058377264128365e-02
1.950000000000000000e+02,3.028600000000000136e+01,1.539474552221665460e-01
2.100000000000000000e+02,2.389059999999999917e+01,2.529447973802170790e-01
2.250000000000000000e+02,1.561389999999999922e+01,2.850161557701456627e-01
2.400000000000000000e+02,7.545899999999999608e+00,2.411061172361134985e-01
2.550000000000000000e+02,1.884100000000000108e+00,1.330586977567517759e-01
2.700000000000000000e+02,3.379999999999999671e-02,1.810352138169934663e-02
2.850000000000000000e+02,2.458800000000000097e+00,1.528455173612372209e-01
3.000000000000000000e+02,8.514200000000000657e+00,2.525771101353355697e-01
3.150000000000000000e+02,1.661949999999999861e+01,2.850444398754784503e-01
3.300000000000000000e+02,2.465869999999999962e+01,2.415490855165721706e-01
3.450000000000000000e+02,3.051409999999999911e+01,1.343830625287754377e-01
3.600000000000000000e+02,3.251630000000000109e+01,2.697058377264125589e-02
